#,Pin,City,State,ODA / Non-ODA Location
1,530028,Visakhapatnam,Andhra Pradesh,Non-ODA
2,533440,Samarlakota,Andhra Pradesh,Non-ODA
3,517299,Madanapalle,Andhra Pradesh,ODA
4,522017,Guntur,Andhra Pradesh,Non-ODA
5,516360,Proddatur,Andhra Pradesh,ODA
6,523271,Kondapi,Andhra Pradesh,ODA
7,532292,Sompeta,Andhra Pradesh,Non-ODA
8,530007,Visakhapatnam,Andhra Pradesh,Non-ODA
9,516193,Badvel,Andhra Pradesh,ODA
10,534004,Eluru,Andhra Pradesh,Non-ODA
11,530009,Visakhapatnam,Andhra Pradesh,Non-ODA
12,516130,Rayachoti,Andhra Pradesh,ODA
13,535217,Vizianagaram,Andhra Pradesh,ODA
14,532215,Tekkali,Andhra Pradesh,Non-ODA
15,521139,Vijayawada,Andhra Pradesh,Non-ODA
16,517571,Puttur-AP,Andhra Pradesh,ODA
17,521190,Nandigama,Andhra Pradesh,ODA
18,515281,Amarapuram,Andhra Pradesh,Non-ODA
19,534204,Bhimavaram,Andhra Pradesh,Non-ODA
20,533107,Rajahmundry,Andhra Pradesh,Non-ODA
21,534269,Palakollu,Andhra Pradesh,Non-ODA
22,516172,Proddatur,Andhra Pradesh,ODA
23,516350,Vempalli,Andhra Pradesh,ODA
24,516233,Badvel,Andhra Pradesh,ODA
25,518206,Betamcherla,Andhra Pradesh,ODA
26,518583,Sirvella,Andhra Pradesh,Non-ODA
27,516163,Cuddapah,Andhra Pradesh,Non-ODA
28,521122,Avanigadda,Andhra Pradesh,ODA
29,517621,Srikalahasti,Andhra Pradesh,ODA
30,518308,Adoni,Andhra Pradesh,Non-ODA
31,523280,Ongole,Andhra Pradesh,Non-ODA
32,534275,Narsapur,Andhra Pradesh,ODA
33,518349,KosigiAP,Andhra Pradesh,ODA
34,515124,Puttaparthi,Andhra Pradesh,Non-ODA
35,522258,Repalle,Andhra Pradesh,ODA
36,516107,Rajampet,Andhra Pradesh,ODA
37,523281,Kandukur,Andhra Pradesh,ODA
38,523241,Podili,Andhra Pradesh,Non-ODA
39,533430,Yerravaram,Andhra Pradesh,Non-ODA
40,522354,Guntur,Andhra Pradesh,ODA
41,522661,Narasaraopet,Andhra Pradesh,Non-ODA
42,523369,Giddalur,Andhra Pradesh,ODA
43,531126,Tuni,Andhra Pradesh,ODA
44,517645,Srikalahasti,Andhra Pradesh,ODA
45,530016,Visakhapatnam,Andhra Pradesh,Non-ODA
46,534227,Tanuku,Andhra Pradesh,ODA
47,530012,Visakhapatnam,Andhra Pradesh,Non-ODA
48,518134,Betamcherla,Andhra Pradesh,ODA
49,515003,Anantapur,Andhra Pradesh,Non-ODA
50,534401,Eluru,Andhra Pradesh,Non-ODA
51,521123,Vijayawada,Andhra Pradesh,ODA
52,533261,Mandapeta,Andhra Pradesh,ODA
53,515763,Kalyandurg,Andhra Pradesh,ODA
54,523302,Martur,Andhra Pradesh,Non-ODA
55,530051,Visakhapatnam,Andhra Pradesh,Non-ODA
56,534196,Tadepalligudem,Andhra Pradesh,ODA
57,522237,Tadikonda,Andhra Pradesh,ODA
58,534126,Tanuku,Andhra Pradesh,Non-ODA
59,522549,Narasaraopet,Andhra Pradesh,ODA
60,518222,Dhone,Andhra Pradesh,Non-ODA
61,531025,Chodavaram,Andhra Pradesh,Non-ODA
62,534250,Palakollu,Andhra Pradesh,Non-ODA
63,515201,Hindupur,Andhra Pradesh,ODA
64,518397,Yemmiganur,Andhra Pradesh,Non-ODA
65,535101,Garividi,Andhra Pradesh,ODA
66,522657,Vinukonda,Andhra Pradesh,ODA
67,533008,Kakinada,Andhra Pradesh,Non-ODA
68,517422,Palamaner,Andhra Pradesh,Non-ODA
69,516310,Cuddapah,Andhra Pradesh,ODA
70,535463,Parvathipuram,Andhra Pradesh,ODA
71,522411,Piduguralla,Andhra Pradesh,Non-ODA
72,530052,Bheemunipatnam,Andhra Pradesh,ODA
73,521207,Nuzvid,Andhra Pradesh,ODA
74,515571,Kadiri,Andhra Pradesh,ODA
75,522010,Guntur,Andhra Pradesh,Non-ODA
76,530018,Visakhapatnam,Andhra Pradesh,Non-ODA
77,532409,Ranastalam,Andhra Pradesh,Non-ODA
78,534165,Tadepalligudem,Andhra Pradesh,ODA
79,534327,Palakollu,Andhra Pradesh,Non-ODA
80,535126,Rajam,Andhra Pradesh,ODA
81,533309,Mandapeta,Andhra Pradesh,ODA
82,534351,Kovvur,Andhra Pradesh,Non-ODA
83,521331,Machilipatnam,Andhra Pradesh,ODA
84,531060,Yellamanchili,Andhra Pradesh,Non-ODA
85,516269,Rayachoti,Andhra Pradesh,Non-ODA
86,517247,Punganur,Andhra Pradesh,ODA
87,518513,Velgodu,Andhra Pradesh,ODA
88,524005,Nellore,Andhra Pradesh,Non-ODA
89,522318,Guntur,Andhra Pradesh,ODA
90,515541,Kadiri,Andhra Pradesh,ODA
91,523273,Kondapi,Andhra Pradesh,Non-ODA
92,516364,Proddatur,Andhra Pradesh,ODA
93,516401,Pulivendula,Andhra Pradesh,ODA
94,517113,Pileru,Andhra Pradesh,ODA
95,523226,Ongole,Andhra Pradesh,Non-ODA
96,516362,Proddatur,Andhra Pradesh,ODA
97,521158,Pamarru,Andhra Pradesh,ODA
98,523370,CumbumAP,Andhra Pradesh,ODA
99,534315,Polavaram,Andhra Pradesh,Non-ODA
100,524228,Kavali,Andhra Pradesh,Non-ODA
101,518360,Yemmiganur,Andhra Pradesh,ODA
102,534207,Bhimavaram,Andhra Pradesh,Non-ODA
103,518301,Adoni,Andhra Pradesh,Non-ODA
104,531002,Visakhapatnam,Andhra Pradesh,Non-ODA
105,533222,Amalapuram,Andhra Pradesh,ODA
106,533201,Amalapuram,Andhra Pradesh,ODA
107,531022,Seetharampram,Andhra Pradesh,Non-ODA
108,535580,Gajapatinagaram,Andhra Pradesh,ODA
109,522332,Guntur,Andhra Pradesh,ODA
110,533447,Kothapalli,Andhra Pradesh,Non-ODA
111,516006,Cuddapah,Andhra Pradesh,Non-ODA
112,517132,Chittoor,Andhra Pradesh,Non-ODA
113,524001,Nellore,Andhra Pradesh,Non-ODA
114,523247,Podili,Andhra Pradesh,Non-ODA
115,534460,Chintalpudi,Andhra Pradesh,Non-ODA
116,515144,Kadiri,Andhra Pradesh,ODA
117,534209,Bhimavaram,Andhra Pradesh,Non-ODA
118,518599,Betamcherla,Andhra Pradesh,ODA
119,523332,Markapur,Andhra Pradesh,ODA
120,515213,Hindupur,Andhra Pradesh,ODA
121,517305,Rayachoti,Andhra Pradesh,Non-ODA
122,522236,Tadikonda,Andhra Pradesh,ODA
123,524224,Kavali,Andhra Pradesh,Non-ODA
124,522310,Chirala,Andhra Pradesh,Non-ODA
125,535221,S Kota,Andhra Pradesh,ODA
126,533016,Kakinada,Andhra Pradesh,Non-ODA
127,523182,Ongole,Andhra Pradesh,Non-ODA
128,521330,Gudivada,Andhra Pradesh,ODA
129,535202,Kovvur,Andhra Pradesh,ODA
130,534302,Kovvur,Andhra Pradesh,Non-ODA
131,517297,Rayachoti,Andhra Pradesh,ODA
132,535534,Kurupam,Andhra Pradesh,Non-ODA
133,521202,Nuzvid,Andhra Pradesh,ODA
134,517234,Pileru,Andhra Pradesh,ODA
135,522238,Guntur,Andhra Pradesh,ODA
136,535280,Vizianagaram,Andhra Pradesh,ODA
137,523187,Chirala,Andhra Pradesh,ODA
138,532406,Srikakulam,Andhra Pradesh,Non-ODA
139,516129,Rayachoti,Andhra Pradesh,ODA
140,523001,Ongole,Andhra Pradesh,Non-ODA
141,531081,Koruprolu,Andhra Pradesh,Non-ODA
142,524304,Atmakur-AP,Andhra Pradesh,ODA
143,521245,Vijayawada,Andhra Pradesh,Non-ODA
144,532242,Palasa,Andhra Pradesh,Non-ODA
145,523372,CumbumAP,Andhra Pradesh,ODA
146,524123,Sullurupeta,Andhra Pradesh,Non-ODA
147,521250,Vuyyuru,Andhra Pradesh,Non-ODA
148,523166,Chirala,Andhra Pradesh,ODA
149,533210,Amalapuram,Andhra Pradesh,Non-ODA
150,535270,Gajapatinagaram,Andhra Pradesh,ODA
151,515631,Anantapur,Andhra Pradesh,Non-ODA
152,522341,Guntur,Andhra Pradesh,ODA
153,520009,Vijayawada,Andhra Pradesh,Non-ODA
154,523245,Kanigiri,Andhra Pradesh,ODA
155,516504,Rayachoti,Andhra Pradesh,ODA
156,533260,Draksharamam,Andhra Pradesh,Non-ODA
157,531027,Chodavaram,Andhra Pradesh,Non-ODA
158,531162,Bheemunipatnam,Andhra Pradesh,ODA
159,523201,Addanki,Andhra Pradesh,ODA
160,523190,Addanki,Andhra Pradesh,Non-ODA
161,534435,Dwaraka Tirumala,Andhra Pradesh,Non-ODA
162,530019,Visakhapatnam,Andhra Pradesh,Non-ODA
163,535214,Vizianagaram,Andhra Pradesh,ODA
164,516127,Rajampet,Andhra Pradesh,Non-ODA
165,518464,Kurnool,Andhra Pradesh,ODA
166,524230,Udayagiri,Andhra Pradesh,ODA
167,534330,Tanuku,Andhra Pradesh,ODA
168,522421,Macherla,Andhra Pradesh,ODA
169,535546,Bobbili,Andhra Pradesh,ODA
170,530029,Visakhapatnam,Andhra Pradesh,Non-ODA
171,517589,Puttur-AP,Andhra Pradesh,Non-ODA
172,516319,Proddatur,Andhra Pradesh,ODA
173,516203,Cuddapah,Andhra Pradesh,Non-ODA
174,518101,Srisailam,Andhra Pradesh,ODA
175,522234,Chilakaluripet,Andhra Pradesh,Non-ODA
176,517126,Pakala,Andhra Pradesh,ODA
177,533241,Amalapuram,Andhra Pradesh,ODA
178,532220,Palasa,Andhra Pradesh,Non-ODA
179,522264,Repalle,Andhra Pradesh,ODA
180,515765,Kambadur,Andhra Pradesh,ODA
181,521328,Avanigadda,Andhra Pradesh,Non-ODA
182,534425,Eluru,Andhra Pradesh,Non-ODA
183,522034,Guntur,Andhra Pradesh,Non-ODA
184,533410,Tuni,Andhra Pradesh,ODA
185,534217,Tanuku,Andhra Pradesh,ODA
186,522615,Piduguralla,Andhra Pradesh,ODA
187,535591,Salur,Andhra Pradesh,ODA
188,518348,Alur,Andhra Pradesh,Non-ODA
189,530004,Visakhapatnam,Andhra Pradesh,Non-ODA
190,534240,Bhimavaram,Andhra Pradesh,Non-ODA
191,532186,Srikakulam,Andhra Pradesh,ODA
192,515305,Madakasira,Andhra Pradesh,ODA
193,534199,Bhimavaram,Andhra Pradesh,Non-ODA
194,534272,Palakollu,Andhra Pradesh,Non-ODA
195,534146,Tadepalligudem,Andhra Pradesh,Non-ODA
196,524129,Naidupeta,Andhra Pradesh,ODA
197,530014,Visakhapatnam,Andhra Pradesh,Non-ODA
198,518385,Guntakal,Andhra Pradesh,ODA
199,522035,Guntur,Andhra Pradesh,Non-ODA
200,515202,Hindupur,Andhra Pradesh,Non-ODA
201,522240,Guntur,Andhra Pradesh,ODA
202,534215,Tanuku,Andhra Pradesh,Non-ODA
203,522619,Chilakaluripet,Andhra Pradesh,ODA
204,523335,CumbumAP,Andhra Pradesh,ODA
205,517592,Puttur-AP,Andhra Pradesh,ODA
206,515531,Kadiri,Andhra Pradesh,Non-ODA
207,516391,Pulivendula,Andhra Pradesh,ODA
208,521344,Kaikaluru,Andhra Pradesh,ODA
209,515641,Anantapur,Andhra Pradesh,Non-ODA
210,516421,Pulivendula,Andhra Pradesh,ODA
211,522613,Macherla,Andhra Pradesh,ODA
212,522302,Guntur,Andhra Pradesh,ODA
213,523211,Ongole,Andhra Pradesh,Non-ODA
214,517505,Tirupati,Andhra Pradesh,Non-ODA
215,534343,Kovvur,Andhra Pradesh,ODA
216,521340,Kaikaluru,Andhra Pradesh,Non-ODA
217,522203,Guntur,Andhra Pradesh,ODA
218,531035,Visakhapatnam,Andhra Pradesh,ODA
219,535128,Garividi,Andhra Pradesh,ODA
220,523170,Chirala,Andhra Pradesh,ODA
221,534326,Tanuku,Andhra Pradesh,Non-ODA
222,534222,Tanuku,Andhra Pradesh,Non-ODA
223,515822,Uravakonda,Andhra Pradesh,ODA
224,518006,Kurnool,Andhra Pradesh,Non-ODA
225,521153,Vijayawada,Andhra Pradesh,Non-ODA
226,533431,Yerravaram,Andhra Pradesh,Non-ODA
227,521211,Nuzvid,Andhra Pradesh,ODA
228,517001,Chittoor,Andhra Pradesh,Non-ODA
229,524402,Naidupeta,Andhra Pradesh,Non-ODA
230,516105,Koduru,Andhra Pradesh,ODA
231,516330,Vempalli,Andhra Pradesh,ODA
232,533214,Amalapuram,Andhra Pradesh,ODA
233,518221,Dhone,Andhra Pradesh,Non-ODA
234,515766,Kambadur,Andhra Pradesh,Non-ODA
235,533102,Rajahmundry,Andhra Pradesh,Non-ODA
236,524407,Gudur,Andhra Pradesh,ODA
237,515271,Madakasira,Andhra Pradesh,Non-ODA
238,533284,Addateegala,Andhra Pradesh,Non-ODA
239,517642,Srikalahasti,Andhra Pradesh,ODA
240,524320,Nellore,Andhra Pradesh,Non-ODA
241,534208,Bhimavaram,Andhra Pradesh,Non-ODA
242,531040,Pedabayalu,Andhra Pradesh,Non-ODA
243,531077,Paderu,Andhra Pradesh,Non-ODA
244,520013,Vijayawada,Andhra Pradesh,Non-ODA
245,521180,Nandigama,Andhra Pradesh,ODA
246,523212,Addanki,Andhra Pradesh,ODA
247,515154,Kadiri,Andhra Pradesh,ODA
248,516131,Rajampet,Andhra Pradesh,ODA
249,517640,Srikalahasti,Andhra Pradesh,ODA
250,531021,Visakhapatnam,Andhra Pradesh,ODA
251,517502,Tirupati,Andhra Pradesh,Non-ODA
252,523345,Giddalur,Andhra Pradesh,Non-ODA
253,535183,Gopalapatnam,Andhra Pradesh,Non-ODA
254,522256,Repalle,Andhra Pradesh,ODA
255,533002,Kakinada,Andhra Pradesh,Non-ODA
256,523185,Addanki,Andhra Pradesh,Non-ODA
257,524421,Naidupeta,Andhra Pradesh,ODA
258,516004,Cuddapah,Andhra Pradesh,Non-ODA
259,532284,Sompeta,Andhra Pradesh,ODA
260,531127,Tuni,Andhra Pradesh,Non-ODA
261,532322,Sompeta,Andhra Pradesh,ODA
262,516247,Cuddapah,Andhra Pradesh,Non-ODA
263,522603,Narasaraopet,Andhra Pradesh,ODA
264,518598,Betamcherla,Andhra Pradesh,ODA
265,521117,Eluru,Andhra Pradesh,ODA
266,515321,Madakasira,Andhra Pradesh,Non-ODA
267,521333,Kaikaluru,Andhra Pradesh,ODA
268,521225,Vijayawada,Andhra Pradesh,Non-ODA
269,533343,Bikkavolu,Andhra Pradesh,Non-ODA
270,522019,Guntur,Andhra Pradesh,Non-ODA
271,518021,Kurnool,Andhra Pradesh,ODA
272,530001,Visakhapatnam,Andhra Pradesh,Non-ODA
273,515767,Kalyandurg,Andhra Pradesh,ODA
274,533428,Addateegala,Andhra Pradesh,Non-ODA
275,515621,Kambadur,Andhra Pradesh,Non-ODA
276,521229,Mylavaram,Andhra Pradesh,Non-ODA
277,534318,Polavaram,Andhra Pradesh,Non-ODA
278,521212,Vijayawada,Andhra Pradesh,Non-ODA
279,533289,Gokavaram,Andhra Pradesh,Non-ODA
280,516380,Tadipatri,Andhra Pradesh,Non-ODA
281,522112,Chilakaluripet,Andhra Pradesh,ODA
282,523101,Singarayakonda,Andhra Pradesh,ODA
283,515774,Gooty,Andhra Pradesh,Non-ODA
284,530049,Visakhapatnam,Andhra Pradesh,Non-ODA
285,534261,Palakollu,Andhra Pradesh,Non-ODA
286,534001,Eluru,Andhra Pradesh,Non-ODA
287,531085,Narsipatnam,Andhra Pradesh,ODA
288,517102,Tirupati,Andhra Pradesh,Non-ODA
289,524234,Atmakur-AP,Andhra Pradesh,Non-ODA
290,517326,Madanapalle,Andhra Pradesh,Non-ODA
291,521109,Vijayawada,Andhra Pradesh,Non-ODA
292,515501,Kadiri,Andhra Pradesh,Non-ODA
293,517401,Venkatagirikota,Andhra Pradesh,Non-ODA
294,532405,Srikakulam,Andhra Pradesh,Non-ODA
295,515556,Gorantla,Andhra Pradesh,Non-ODA
296,517520,Tirupati,Andhra Pradesh,Non-ODA
297,523121,Kanigiri,Andhra Pradesh,ODA
298,524415,Vidyanagar,Andhra Pradesh,ODA
299,533577,Amalapuram,Andhra Pradesh,ODA
300,533296,Rajahmundry,Andhra Pradesh,Non-ODA
301,524152,Nellore,Andhra Pradesh,Non-ODA
302,534316,Gopalapuram,Andhra Pradesh,Non-ODA
303,518122,Betamcherla,Andhra Pradesh,ODA
304,523270,Kondapi,Andhra Pradesh,Non-ODA
305,523254,Kanigiri,Andhra Pradesh,ODA
306,534266,Palakollu,Andhra Pradesh,Non-ODA
307,534313,Gopalapuram,Andhra Pradesh,Non-ODA
308,534238,Bhimavaram,Andhra Pradesh,ODA
309,523330,Yerragonda Palem,Andhra Pradesh,ODA
310,517425,Kuppam,Andhra Pradesh,ODA
311,533101,Rajahmundry,Andhra Pradesh,Non-ODA
312,532221,Palasa,Andhra Pradesh,ODA
313,524142,Kavali,Andhra Pradesh,Non-ODA
314,523213,Ongole,Andhra Pradesh,ODA
315,522018,Guntur,Andhra Pradesh,Non-ODA
316,530020,Visakhapatnam,Andhra Pradesh,Non-ODA
317,522202,Tenali,Andhra Pradesh,ODA
318,522435,Piduguralla,Andhra Pradesh,Non-ODA
319,520014,Vijayawada,Andhra Pradesh,Non-ODA
320,524344,Nellore,Andhra Pradesh,Non-ODA
321,517619,Srikalahasti,Andhra Pradesh,ODA
322,518346,Alur,Andhra Pradesh,Non-ODA
323,534312,Jangareddygudem,Andhra Pradesh,Non-ODA
324,516411,Chagalamarri,Andhra Pradesh,ODA
325,522213,Guntur,Andhra Pradesh,Non-ODA
326,521214,Vissannapetaa,Andhra Pradesh,Non-ODA
327,515611,Gooty,Andhra Pradesh,Non-ODA
328,521156,Pamarru,Andhra Pradesh,ODA
329,516339,Cuddapah,Andhra Pradesh,ODA
330,532401,Srikakulam,Andhra Pradesh,ODA
331,521134,Vijayawada,Andhra Pradesh,Non-ODA
332,533448,Kothapalli,Andhra Pradesh,Non-ODA
333,518395,Alur,Andhra Pradesh,Non-ODA
334,515404,Anantapur,Andhra Pradesh,ODA
335,515761,Kalyandurg,Andhra Pradesh,ODA
336,521263,Gudivada,Andhra Pradesh,ODA
337,521001,Machilipatnam,Andhra Pradesh,ODA
338,517418,Madanapalle,Andhra Pradesh,Non-ODA
339,531151,Araku,Andhra Pradesh,Non-ODA
340,534411,Tadepalligudem,Andhra Pradesh,ODA
341,524411,Vidyanagar,Andhra Pradesh,ODA
342,530031,Visakhapatnam,Andhra Pradesh,Non-ODA
343,522311,Guntur,Andhra Pradesh,Non-ODA
344,533004,Kakinada,Andhra Pradesh,Non-ODA
345,520001,Vijayawada,Andhra Pradesh,Non-ODA
346,521345,Eluru,Andhra Pradesh,ODA
347,522002,Guntur,Andhra Pradesh,Non-ODA
348,530024,Visakhapatnam,Andhra Pradesh,Non-ODA
349,534186,Bhimavaram,Andhra Pradesh,Non-ODA
350,534402,Bhimavaram,Andhra Pradesh,
351,516259,Vempalli,Andhra Pradesh,ODA
352,516126,Rajampet,Andhra Pradesh,ODA
353,534442,Eluru,Andhra Pradesh,Non-ODA
354,533229,Mandapeta,Andhra Pradesh,ODA
355,531075,Chodavaram,Andhra Pradesh,Non-ODA
356,517403,Chittoor,Andhra Pradesh,Non-ODA
357,523189,Chirala,Andhra Pradesh,ODA
358,518347,Adoni,Andhra Pradesh,ODA
359,531161,Bheemunipatnam,Andhra Pradesh,ODA
360,534111,Nallajerla,Andhra Pradesh,Non-ODA
361,533104,Rajahmundry,Andhra Pradesh,Non-ODA
362,522515,Guntur,Andhra Pradesh,ODA
363,517429,Palamaner,Andhra Pradesh,Non-ODA
364,535215,Vizianagaram,Andhra Pradesh,ODA
365,531082,Koruprolu,Andhra Pradesh,Non-ODA
366,531218,Bheemunipatnam,Andhra Pradesh,Non-ODA
367,515133,Puttaparthi,Andhra Pradesh,ODA
368,524131,Gudur,Andhra Pradesh,Non-ODA
369,534218,Tanuku,Andhra Pradesh,Non-ODA
370,533232,Mandapeta,Andhra Pradesh,ODA
371,532203,Tekkali,Andhra Pradesh,Non-ODA
372,530010,Visakhapatnam,Andhra Pradesh,ODA
373,530057,Visakhapatnam,Andhra Pradesh,
374,534324,Tanuku,Andhra Pradesh,Non-ODA
375,521125,Avanigadda,Andhra Pradesh,ODA
376,521326,Kaikaluru,Andhra Pradesh,Non-ODA
377,521255,Vijayawada,Andhra Pradesh,ODA
378,521133,Machilipatnam,Andhra Pradesh,ODA
379,522005,Guntur,Andhra Pradesh,Non-ODA
380,533408,Kathipudi,Andhra Pradesh,ODA
381,534407,Tadepalligudem,Andhra Pradesh,ODA
382,533432,Yerravaram,Andhra Pradesh,Non-ODA
383,518166,Tadipatri,Andhra Pradesh,ODA
384,532404,Srikakulam,Andhra Pradesh,ODA
385,535005,Vizianagaram,Andhra Pradesh,ODA
386,521107,Vijayawada,Andhra Pradesh,Non-ODA
387,531163,Bheemunipatnam,Andhra Pradesh,Non-ODA
388,534145,Tadepalligudem,Andhra Pradesh,ODA
389,518302,Adoni,Andhra Pradesh,ODA
390,515775,Gooty,Andhra Pradesh,ODA
391,515561,Kadiri,Andhra Pradesh,Non-ODA
392,531033,Visakhapatnam,Andhra Pradesh,ODA
393,523262,Ongole,Andhra Pradesh,Non-ODA
394,532290,Sompeta,Andhra Pradesh,ODA
395,524225,Kavali,Andhra Pradesh,Non-ODA
396,534341,Gopalapuram,Andhra Pradesh,Non-ODA
397,523223,Kanigiri,Andhra Pradesh,ODA
398,522649,Vinukonda,Andhra Pradesh,ODA
399,534338,Palakollu,Andhra Pradesh,Non-ODA
400,517330,Madanapalle,Andhra Pradesh,ODA
401,522439,Macherla,Andhra Pradesh,ODA
402,515408,Gooty,Andhra Pradesh,ODA
403,531036,Chodavaram,Andhra Pradesh,Non-ODA
404,517536,Srikalahasti,Andhra Pradesh,ODA
405,517352,Madanapalle,Andhra Pradesh,ODA
406,523371,Markapur,Andhra Pradesh,ODA
407,524203,Kavali,Andhra Pradesh,ODA
408,518411,Nandikotkur,Andhra Pradesh,ODA
409,516505,Badvel,Andhra Pradesh,Non-ODA
410,524003,Nellore,Andhra Pradesh,Non-ODA
411,523315,Markapur,Andhra Pradesh,Non-ODA
412,533235,Mandapeta,Andhra Pradesh,Non-ODA
413,522235,Guntur,Andhra Pradesh,Non-ODA
414,533223,Mandapeta,Andhra Pradesh,Non-ODA
415,532579,Salur,Andhra Pradesh,ODA
416,521227,Vissannapetaa,Andhra Pradesh,Non-ODA
417,533483,Addateegala,Andhra Pradesh,Non-ODA
418,521151,Vijayawada,Andhra Pradesh,Non-ODA
419,534015,Eluru,Andhra Pradesh,
420,515286,Amarapuram,Andhra Pradesh,Non-ODA
421,534247,Bhimavaram,Andhra Pradesh,Non-ODA
422,523214,Addanki,Andhra Pradesh,ODA
423,517417,Punganur,Andhra Pradesh,ODA
424,521131,Machilipatnam,Andhra Pradesh,ODA
425,520012,Vijayawada,Andhra Pradesh,Non-ODA
426,534211,Tanuku,Andhra Pradesh,Non-ODA
427,535204,Bhogapuram,Andhra Pradesh,ODA
428,516293,Cuddapah,Andhra Pradesh,Non-ODA
429,534451,Jangareddygudem,Andhra Pradesh,Non-ODA
430,521323,Gudivada,Andhra Pradesh,ODA
431,532264,Sompeta,Andhra Pradesh,ODA
432,524004,Nellore,Andhra Pradesh,Non-ODA
433,534437,Eluru,Andhra Pradesh,Non-ODA
434,523112,Pamuru,Andhra Pradesh,Non-ODA
435,532432,Narasannapeta,Andhra Pradesh,Non-ODA
436,534432,Eluru,Andhra Pradesh,Non-ODA
437,522611,Chilakaluripet,Andhra Pradesh,ODA
438,533254,Razole,Andhra Pradesh,ODA
439,534303,Kovvur,Andhra Pradesh,ODA
440,521390,Pamarru,Andhra Pradesh,ODA
441,531031,Anakapalle,Andhra Pradesh,ODA
442,520003,Vijayawada,Andhra Pradesh,Non-ODA
443,533238,Mandapeta,Andhra Pradesh,ODA
444,516152,Cuddapah,Andhra Pradesh,Non-ODA
445,522263,Repalle,Andhra Pradesh,ODA
446,534455,Jangareddygudem,Andhra Pradesh,Non-ODA
447,532522,Parvathipuram,Andhra Pradesh,ODA
448,516501,Badvel,Andhra Pradesh,ODA
449,530046,Visakhapatnam,Andhra Pradesh,Non-ODA
450,517416,Palamaner,Andhra Pradesh,Non-ODA
451,507129,Nellipaka,Andhra Pradesh,Non-ODA
452,522414,Piduguralla,Andhra Pradesh,Non-ODA
453,515425,Anantapur,Andhra Pradesh,Non-ODA
454,518553,Chagalamarri,Andhra Pradesh,ODA
455,518001,Kurnool,Andhra Pradesh,Non-ODA
456,531028,Chodavaram,Andhra Pradesh,Non-ODA
457,532148,Rajam,Andhra Pradesh,ODA
458,518501,Nandyal,Andhra Pradesh,ODA
459,535558,Bobbili,Andhra Pradesh,ODA
460,534123,Tanuku,Andhra Pradesh,Non-ODA
461,523320,Markapur,Andhra Pradesh,ODA
462,530035,Visakhapatnam,Andhra Pradesh,Non-ODA
463,524312,Udayagiri,Andhra Pradesh,Non-ODA
464,531034,Chodavaram,Andhra Pradesh,Non-ODA
465,534340,Kovvur,Andhra Pradesh,Non-ODA
466,533293,Rajahmundry,Andhra Pradesh,Non-ODA
467,518465,Alur,Andhra Pradesh,Non-ODA
468,509153,Kurnool,Andhra Pradesh,Non-ODA
469,516454,Tadipatri,Andhra Pradesh,Non-ODA
470,518333,KosigiAP,Andhra Pradesh,Non-ODA
471,534166,Tadepalligudem,Andhra Pradesh,ODA
472,517319,Madanapalle,Andhra Pradesh,ODA
473,533250,Razole,Andhra Pradesh,ODA
474,517235,Madanapalle,Andhra Pradesh,Non-ODA
475,517370,B Kothakota,Andhra Pradesh,ODA
476,521124,Gudivada,Andhra Pradesh,ODA
477,520010,Vijayawada,Andhra Pradesh,Non-ODA
478,518401,Nandikotkur,Andhra Pradesh,Non-ODA
479,518432,Nandikotkur,Andhra Pradesh,Non-ODA
480,523110,Pamuru,Andhra Pradesh,Non-ODA
481,515402,Gooty,Andhra Pradesh,ODA
482,516150,Rajampet,Andhra Pradesh,ODA
483,515415,Tadipatri,Andhra Pradesh,ODA
484,522510,Guntur,Andhra Pradesh,ODA
485,522303,Vijayawada,Andhra Pradesh,ODA
486,523286,Ongole,Andhra Pradesh,Non-ODA
487,515164,Puttaparthi,Andhra Pradesh,ODA
488,515661,Anantapur,Andhra Pradesh,Non-ODA
489,523356,Giddalur,Andhra Pradesh,ODA
490,533237,Mandapeta,Andhra Pradesh,Non-ODA
491,534156,Tanuku,Andhra Pradesh,Non-ODA
492,518313,KosigiAP,Andhra Pradesh,ODA
493,515231,Gorantla,Andhra Pradesh,Non-ODA
494,523108,Pamuru,Andhra Pradesh,ODA
495,530006,Visakhapatnam,Andhra Pradesh,Non-ODA
496,515581,Vempalli,Andhra Pradesh,ODA
497,533434,Samarlakota,Andhra Pradesh,Non-ODA
498,520006,Vijayawada,Andhra Pradesh,Non-ODA
499,522426,Macherla,Andhra Pradesh,Non-ODA
500,532501,Parvathipuram,Andhra Pradesh,ODA
501,524412,Gudur,Andhra Pradesh,Non-ODA
502,521003,Machilipatnam,Andhra Pradesh,ODA
503,516223,Proddatur,Andhra Pradesh,ODA
504,521356,Gudivada,Andhra Pradesh,ODA
505,523301,Martur,Andhra Pradesh,Non-ODA
506,535213,Bhogapuram,Andhra Pradesh,ODA
507,522315,Guntur,Andhra Pradesh,ODA
508,515814,Anantapur,Andhra Pradesh,ODA
509,522509,Guntur,Andhra Pradesh,Non-ODA
510,535573,Bobbili,Andhra Pradesh,ODA
511,532168,Srikakulam,Andhra Pradesh,ODA
512,521101,Vijayawada,Andhra Pradesh,Non-ODA
513,534320,Tanuku,Andhra Pradesh,ODA
514,520004,Vijayawada,Andhra Pradesh,Non-ODA
